NOFOLIO,ENTIDAD,CCT,GENERO,NOMBRE_CT                                                                                               ,N_TURNO,EXTENSION,NOMBRE_MUN,NOMBRE_LOC,MARGINA,SOST,SUBSIST,NVL_ESP,NVL_MAT,
130000018B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,III,
130000019B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000020B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000021B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000022B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000023B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000024B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000025B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000026B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000027B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,II,
130000028B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000029B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000030B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000031B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000032B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000033B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,I,
130000034B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,I,
130000035B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000036B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000037B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000038B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000039B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,II,
130000040B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000041B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000042B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000044B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000045B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000046B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000047B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000048B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000049B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000050B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,I,
130000051B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,I,
130000052B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000053B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000054B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000055B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000056B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000057B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000058B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000059B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000060B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000061B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000062B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000063B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000064B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000065B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000066B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000067B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000068B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000069B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000070B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000072B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000074B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000075B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000077B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000078B17,HIDALGO,13DCT0005G,H,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000079B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000080B17,HIDALGO,13DCT0005G,M,CBTIS 199,MATUTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000081B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000083B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000084B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,II,
130000085B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,III,
130000086B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000087B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,II,
130000088B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,II,
130000089B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000090B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000091B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000092B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,III,
130000093B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,I,
130000094B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000095B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,IV,
130000096B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000097B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000098B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,II,
130000099B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000100B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,IV,
130000101B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000102B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000103B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000104B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,II,
130000105B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000106B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000107B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000109B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000110B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000111B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000112B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000113B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000114B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000115B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000116B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000117B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,III,
130000118B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000119B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000120B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000121B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000122B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000123B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,II,
130000124B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000125B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000126B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000127B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,IV,III,
130000128B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000129B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000130B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,III,
130000131B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000133B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000134B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,III,
130000135B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000136B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000137B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000138B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,II,
130000139B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000140B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,I,
130000141B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000142B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,I,
130000143B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000144B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,II,
130000145B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,I,
130000146B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,III,IV,
130000147B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,IV,
130000148B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,II,I,
130000149B17,HIDALGO,13DCT0005G,H,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,I,III,
130000150B17,HIDALGO,13DCT0005G,M,CBTIS 199,VESPERTINO,,MIXQUIAHUALA DE JUAREZ,MIXQUIAHUALA,MUY BAJO,FEDERAL,DGETI,8,III,
